
 Sweep settings: Start voltage: 20 V, end voltage:  23 V, sweep points: 300, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.170000E+01,+7.190844E-07,+9.910000E+37
+2.170000E+01,+6.928150E-07,+9.910000E+37
+2.170000E+01,+6.973414E-07,+9.910000E+37
+2.175000E+01,+7.891311E-07,+9.910000E+37
+2.175000E+01,+7.634612E-07,+9.910000E+37
+2.175000E+01,+8.012870E-07,+9.910000E+37
+2.175000E+01,+7.857596E-07,+9.910000E+37
+2.175000E+01,+7.783793E-07,+9.910000E+37
+2.180000E+01,+8.973873E-07,+9.910000E+37
+2.180000E+01,+8.999352E-07,+9.910000E+37
+2.180000E+01,+8.708023E-07,+9.910000E+37
+2.180000E+01,+9.064771E-07,+9.910000E+37
+2.180000E+01,+8.895938E-07,+9.910000E+37
+2.185000E+01,+9.518757E-07,+9.910000E+37
+2.185000E+01,+9.950504E-07,+9.910000E+37
+2.185000E+01,+9.772475E-07,+9.910000E+37
+2.185000E+01,+9.394219E-07,+9.910000E+37
+2.185000E+01,+9.977260E-07,+9.910000E+37
+2.190000E+01,+1.086055E-06,+9.910000E+37
+2.190000E+01,+1.052590E-06,+9.910000E+37
+2.190000E+01,+1.114128E-06,+9.910000E+37
+2.190000E+01,+1.084418E-06,+9.910000E+37
+2.190000E+01,+1.046827E-06,+9.910000E+37
+2.195000E+01,+1.231043E-06,+9.910000E+37
+2.195000E+01,+1.211488E-06,+9.910000E+37
+2.195000E+01,+1.175480E-06,+9.910000E+37
+2.195000E+01,+1.219791E-06,+9.910000E+37
+2.195000E+01,+1.203660E-06,+9.910000E+37
+2.200000E+01,+1.344527E-06,+9.910000E+37
+2.200000E+01,+1.340966E-06,+9.910000E+37
+2.200000E+01,+1.311400E-06,+9.910000E+37
+2.200000E+01,+1.354082E-06,+9.910000E+37
+2.200000E+01,+1.340949E-06,+9.910000E+37
+2.205000E+01,+1.387491E-06,+9.910000E+37
+2.205000E+01,+1.461866E-06,+9.910000E+37
+2.205000E+01,+1.422682E-06,+9.910000E+37
+2.205000E+01,+1.389557E-06,+9.910000E+37
+2.205000E+01,+1.450271E-06,+9.910000E+37
+2.210000E+01,+1.567956E-06,+9.910000E+37
+2.210000E+01,+1.548394E-06,+9.910000E+37
+2.210000E+01,+1.580165E-06,+9.910000E+37
+2.210000E+01,+1.551536E-06,+9.910000E+37
+2.210000E+01,+1.562404E-06,+9.910000E+37
+2.215000E+01,+1.716871E-06,+9.910000E+37
+2.215000E+01,+1.693575E-06,+9.910000E+37
+2.215000E+01,+1.717868E-06,+9.910000E+37
+2.215000E+01,+1.717784E-06,+9.910000E+37
+2.215000E+01,+1.711125E-06,+9.910000E+37
+2.220000E+01,+1.816476E-06,+9.910000E+37
+2.220000E+01,+1.813857E-06,+9.910000E+37
+2.220000E+01,+1.808127E-06,+9.910000E+37
+2.220000E+01,+1.829742E-06,+9.910000E+37
+2.220000E+01,+1.816715E-06,+9.910000E+37
+2.225000E+01,+1.967138E-06,+9.910000E+37
+2.225000E+01,+1.975648E-06,+9.910000E+37
+2.225000E+01,+1.983512E-06,+9.910000E+37
+2.225000E+01,+1.981299E-06,+9.910000E+37
+2.225000E+01,+1.963425E-06,+9.910000E+37
