
 Sweep settings: Start voltage: 10 V, end voltage:  22 V, sweep points: 240.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.945000E+01,+4.310153E-08,+9.910000E+37
+1.950000E+01,+3.186303E-08,+9.910000E+37
+1.955000E+01,-1.107377E-08,+9.910000E+37
+1.960000E+01,-3.336835E-08,+9.910000E+37
+1.965000E+01,-1.414020E-08,+9.910000E+37
+1.970000E+01,-8.909060E-09,+9.910000E+37
+1.975000E+01,-6.241142E-09,+9.910000E+37
+1.980000E+01,+3.632063E-09,+9.910000E+37
+1.985000E+01,+2.972136E-08,+9.910000E+37
+1.990000E+01,+1.942588E-08,+9.910000E+37
+1.995000E+01,-2.580897E-08,+9.910000E+37
+2.000000E+01,-3.041953E-08,+9.910000E+37
+2.005000E+01,-2.715395E-08,+9.910000E+37
+2.010000E+01,-5.750731E-09,+9.910000E+37
+2.015000E+01,-4.563975E-09,+9.910000E+37
+2.020000E+01,-4.111033E-10,+9.910000E+37
+2.025000E+01,+1.416522E-08,+9.910000E+37
+2.030000E+01,+3.688044E-08,+9.910000E+37
+2.035000E+01,+3.123626E-08,+9.910000E+37
+2.040000E+01,-8.103425E-09,+9.910000E+37
+2.045000E+01,-3.477548E-08,+9.910000E+37
+2.050000E+01,-2.942506E-08,+9.910000E+37
+2.055000E+01,-6.246953E-09,+9.910000E+37
+2.060000E+01,+7.195544E-09,+9.910000E+37
+2.065000E+01,+1.158652E-09,+9.910000E+37
+2.070000E+01,+1.581764E-08,+9.910000E+37
+2.075000E+01,+3.469874E-08,+9.910000E+37
+2.080000E+01,+2.211887E-08,+9.910000E+37
+2.085000E+01,-1.219712E-08,+9.910000E+37
+2.090000E+01,-3.652295E-08,+9.910000E+37
+2.095000E+01,-1.086751E-08,+9.910000E+37
+2.100000E+01,+5.424581E-09,+9.910000E+37
+2.105000E+01,+3.663946E-09,+9.910000E+37
+2.110000E+01,+1.569303E-08,+9.910000E+37
+2.115000E+01,+3.182855E-08,+9.910000E+37
+2.120000E+01,-4.432700E-09,+9.910000E+37
+2.125000E+01,-3.284268E-08,+9.910000E+37
+2.130000E+01,-3.210997E-08,+9.910000E+37
+2.135000E+01,-9.191596E-09,+9.910000E+37
+2.140000E+01,-2.462468E-10,+9.910000E+37
+2.145000E+01,+6.932538E-09,+9.910000E+37
+2.150000E+01,+2.424716E-08,+9.910000E+37
+2.155000E+01,+1.709781E-08,+9.910000E+37
+2.160000E+01,-2.211127E-08,+9.910000E+37
+2.165000E+01,-3.539759E-08,+9.910000E+37
+2.170000E+01,-3.036375E-09,+9.910000E+37
+2.175000E+01,+2.418125E-09,+9.910000E+37
+2.180000E+01,+3.582762E-09,+9.910000E+37
+2.185000E+01,+2.217843E-08,+9.910000E+37
+2.190000E+01,+3.473223E-08,+9.910000E+37
+2.195000E+01,+7.522763E-09,+9.910000E+37
