
 Sweep settings: Start voltage: 10 V, end voltage:  22 V, sweep points: 240.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.035000E+01,+2.571377E-09,+9.910000E+37
+2.040000E+01,-6.510367E-09,+9.910000E+37
+2.045000E+01,-3.132060E-09,+9.910000E+37
+2.050000E+01,+8.898187E-09,+9.910000E+37
+2.055000E+01,+7.864835E-09,+9.910000E+37
+2.060000E+01,+1.550036E-09,+9.910000E+37
+2.065000E+01,-2.578674E-09,+9.910000E+37
+2.070000E+01,+1.414652E-08,+9.910000E+37
+2.075000E+01,+1.641820E-08,+9.910000E+37
+2.080000E+01,+3.731267E-08,+9.910000E+37
+2.085000E+01,+4.093029E-08,+9.910000E+37
+2.090000E+01,+2.915507E-08,+9.910000E+37
+2.095000E+01,+3.440725E-08,+9.910000E+37
+2.100000E+01,+2.962773E-08,+9.910000E+37
+2.105000E+01,+2.890254E-08,+9.910000E+37
+2.110000E+01,+3.334619E-08,+9.910000E+37
+2.115000E+01,+4.343675E-08,+9.910000E+37
+2.120000E+01,+3.745793E-08,+9.910000E+37
+2.125000E+01,+3.827551E-08,+9.910000E+37
+2.130000E+01,+4.081008E-08,+9.910000E+37
+2.135000E+01,+3.541856E-08,+9.910000E+37
+2.140000E+01,+3.537181E-08,+9.910000E+37
+2.145000E+01,+4.194802E-08,+9.910000E+37
+2.150000E+01,+4.570465E-08,+9.910000E+37
+2.155000E+01,+3.754236E-08,+9.910000E+37
+2.160000E+01,+3.889013E-08,+9.910000E+37
+2.165000E+01,+3.520162E-08,+9.910000E+37
+2.170000E+01,+2.321010E-08,+9.910000E+37
+2.175000E+01,+3.182692E-08,+9.910000E+37
+2.180000E+01,+2.324240E-08,+9.910000E+37
+2.185000E+01,+2.728267E-08,+9.910000E+37
+2.190000E+01,+1.774111E-08,+9.910000E+37
+2.195000E+01,+1.706683E-08,+9.910000E+37
