
 Sweep settings: Start voltage: 20 V, end voltage:  23 V, sweep points: 200, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.250000E+01,+2.878903E-07,+9.910000E+37
+2.250000E+01,+5.479104E-07,+9.910000E+37
+2.250000E+01,+5.687631E-07,+9.910000E+37
+2.250000E+01,+5.640982E-07,+9.910000E+37
+2.255000E+01,+3.747064E-07,+9.910000E+37
+2.255000E+01,+5.781916E-07,+9.910000E+37
+2.255000E+01,+6.048167E-07,+9.910000E+37
+2.260000E+01,+5.696930E-07,+9.910000E+37
+2.260000E+01,+6.353003E-07,+9.910000E+37
+2.260000E+01,+6.261099E-07,+9.910000E+37
+2.265000E+01,+5.940323E-07,+9.910000E+37
+2.265000E+01,+9.843003E-07,+9.910000E+37
+2.265000E+01,+7.684138E-07,+9.910000E+37
+2.265000E+01,+6.744062E-07,+9.910000E+37
+2.270000E+01,+6.645044E-07,+9.910000E+37
+2.270000E+01,+1.009223E-06,+9.910000E+37
+2.270000E+01,+6.723902E-07,+9.910000E+37
+2.275000E+01,+1.019108E-06,+9.910000E+37
+2.275000E+01,+7.087561E-07,+9.910000E+37
+2.275000E+01,+1.011775E-06,+9.910000E+37
+2.280000E+01,+9.916696E-07,+9.910000E+37
+2.280000E+01,+7.518958E-07,+9.910000E+37
+2.280000E+01,+1.027913E-06,+9.910000E+37
+2.280000E+01,+7.397131E-07,+9.910000E+37
+2.285000E+01,+1.033937E-06,+9.910000E+37
+2.285000E+01,+7.549400E-07,+9.910000E+37
+2.285000E+01,+6.885192E-07,+9.910000E+37
+2.290000E+01,+8.289968E-07,+9.910000E+37
+2.290000E+01,+1.042828E-06,+9.910000E+37
+2.290000E+01,+8.122865E-07,+9.910000E+37
+2.295000E+01,+8.874665E-07,+9.910000E+37
+2.295000E+01,+8.743694E-07,+9.910000E+37
+2.295000E+01,+8.879431E-07,+9.910000E+37
+2.295000E+01,+8.420436E-07,+9.910000E+37
+2.300000E+01,+9.057195E-07,+9.910000E+37
